"s" "f" "o" "insertions"
"1" "Astyanax_lacustris" "Characidae" "Characiformes" "Present_in_Tree"
"2" "Astyanax_lineatus" "Characidae" "Characiformes" "Congeneric_insertion"
"3" "Astyanax_sp1" "Characidae" "Characiformes" "Congeneric_insertion"
"4" "Astyanax_sp2" "Characidae" "Characiformes" "Congeneric_insertion"
"5" "Astyanax_sp3" "Characidae" "Characiformes" "Congeneric_insertion"
"6" "Apareiodon_ibitiensis" "Parodontidae" "Characiformes" "Present_in_Tree"
"7" "Astyanax_paranae" "Characidae" "Characiformes" "Present_in_Tree"
"8" "Apareiodon_piracicabae" "Parodontidae" "Characiformes" "Present_in_Tree"
"9" "Ancistrus_sp" "Loricariidae" "Siluriformes" "Congeneric_insertion"
"10" "Corydoras_aeneus" "Callichthyidae" "Siluriformes" "Present_in_Tree"
"11" "Crenicichla_britskii" "Cichlidae" "Perciformes" "Present_in_Tree"
"12" "Crenicichla_lepidota" "Cichlidae" "Perciformes" "Present_in_Tree"
"13" "Piabarchus_stramineus" "Characidae" "Characiformes" "Congeneric_insertion"
"14" "Characidium_gomesi" "Crenuchidae" "Characiformes" "Congeneric_insertion"
"15" "Characidium_laterale" "Crenuchidae" "Characiformes" "Present_in_Tree"
"16" "Cichlasoma_paranaense" "Cichlidae" "Perciformes" "Congeneric_insertion"
"17" "Crenicichla_sp" "Cichlidae" "Cichliformes" "Congeneric_insertion"
"18" "Gymnotus_inaequilabiatus" "Gymnotidae" "Gymnotiformes" "Present_in_Tree"
"19" "Characidium_sp" "Crenuchidae" "Characiformes" "Congeneric_insertion"
"20" "Hypostomus_iheringii" "Loricariidae" "Siluriformes" "Present_in_Tree"
"21" "Hypostomus_khimaera" "Loricariidae" "Siluriformes" "Congeneric_insertion"
"22" "Curculionichthys_insperatus" "Loricariidae" "Siluriformes" "Family_insertion"
"23" "Hoplias_malabaricus" "Erythrinidae" "Characiformes" "Present_in_Tree"
"24" "Gymnotus_sp" "Gymnotidae" "Gymnotiformes" "Present_in_Tree"
"25" "Imparfinis_schubarti" "Heptapteridae" "Siluriformes" "Congeneric_insertion"
"26" "Leporinus_friderici" "Anostomidae" "Characiformes" "Present_in_Tree"
"27" "Loricaria_luciae" "Loricariidae" "Siluriformes" "Congeneric_insertion"
"28" "Loricariichthys_platymetopon" "Loricariidae" "Siluriformes" "Present_in_Tree"
"29" "Moenkhausia_forestii" "Characidae" "Characiformes" "Present_in_Tree"
"30" "Hisonotus_sp" "Loricariidae" "Siluriformes" "Congeneric_insertion"
"31" "Piabina_argentea" "Characidae" "Characiformes" "Present_in_Tree"
"32" "Piabarchus_torrenticola" "Characidae" "Characiformes" "Congeneric_insertion"
"33" "Hypostomus_sp" "Loricariidae" "Siluriformes" "Congeneric_insertion"
"34" "Hypostomus_sp2" "Loricariidae" "Siluriformes" "Congeneric_insertion"
"35" "Hypostomus_aff_latirostris" "Loricariidae" "Siluriformes" "Congeneric_insertion"
"36" "Psellogrammus_kennedyi" "Characidae" "Characiformes" "Present_in_Tree"
"37" "Imparfinis_sp" "Heptapteridae" "Siluriformes" "Congeneric_insertion"
"38" "Jupiaba_acantogaster" "Characidae" "Characiformes" "Congeneric_insertion"
"39" "Phenacorhamdia_tenebrosa" "Heptapteridae" "Siluriformes" "Present_in_Tree"
"40" "Loricaria_cf_coximensis" "Loricariidae" "Siluriformes" "Congeneric_insertion"
"41" "Roeboides_descalvadensis" "Characidae" "Characiformes" "Present_in_Tree"
"42" "Rhamdia_quelen" "Heptapteridae" "Siluriformes" "Present_in_Tree"
"43" "Synbranchus_marmoratus" "Synbranchidae" "Synbranchiformes" "Family_insertion"
"44" "Moenkhausia_oligolepsis" "Characidae" "Characiformes" "Congeneric_insertion"
