"s" "f" "o"
"1" "Astyanax_lacustris" "Characidae" "Characiformes"
"2" "Astyanax_lineatus" "Characidae" "Characiformes"
"3" "Astyanax_sp1" "Characidae" "Characiformes"
"4" "Astyanax_sp2" "Characidae" "Siluriformes"
"5" "Astyanax_sp3" "Characidae" "Characiformes"
"6" "Apareiodon_ibitiensis" "Parodontidae" "Characiformes"
"7" "Astyanax_paranae" "Characidae" "Characiformes"
"8" "Apareiodon_piracicabae" "Parodontidae" "Characiformes"
"9" "Ancistrus_sp" "Cichlidae" "Cichliformes"
"10" "Corydoras_aeneus" "Callichthyidae" "Siluriformes"
"11" "Crenicichla_britskii" "Cichlidae" "Perciformes"
"12" "Crenicichla_lepidota" "Cichlidae" "Perciformes"
"13" "Piabarchus_stramineus" "Caracidae" "Characiformes"
"14" "Characidium_gomesi" "Crenuchidae" "Characiformes"
"15" "Characidium_laterale" "Crenuchidae" "Characiformes"
"16" "Cichlasoma_paranaense" "Cichlidae" "Perciformes"
"17" "Crenicichla_sp" "Gymnotidae" "Gymnotiformes"
"18" "Gymnotus_inaequilabiatus" "Gymnotidae" "Gymnotiformes"
"19" "Characidium_sp" "Loricariidae" "Siluriformes"
"20" "Hypostomus_iheringii" "Loricariidae" "Siluriformes"
"21" "Hypostomus_khimaera" "Loricariidae" "Siluriformes"
"22" "Curculionichthys_insperatus" "Loricariidae" "Siluriformes"
"23" "Hoplias_malabaricus" "Erythrinidae" "Characiformes"
"24" "Gymnotus_sp" "Loricariidae" "Siluriformes"
"25" "Imparfinis_schubarti" "Heptapteridae" "Siluriformes"
"26" "Leporinus_friderici" "Anostomidae" "Characiformes"
"27" "Loricaria_luciae" "Loricariidae" "Siluriformes"
"28" "Loricariichthys_platymetopon" "Loricariidae" "Siluriformes"
"29" "Moenkhausia_forestii" "Characidae" "Characiformes"
"30" "Hisonotus_sp" "Loricariidae" "Siluriformes"
"31" "Piabina_argentea" "Characidae" "Characiformes"
"32" "Piabarchus_torrenticola" "Characidae" "Characiformes"
"33" "Hypostomus_sp" "Loricariidae" "Siluriformes"
"34" "Hypostomus_sp2" "Heptapteriidae" "Siluriformes"
"35" "Hypostomus_aff_latirostris" "Characidae" "Characiformes"
"36" "Psellogrammus_kennedyi" "Characidae" "Characiformes"
"37" "Imparfinis_sp" "Loricariidae" "Siluriformes"
"38" "Jupiaba_acantogaster" "Characidae" "Characiformes"
"39" "Phenacorhamdia_tenebrosa" "Heptapteridae" "Siluriformes"
"40" "Loricaria_cf_coximensis" "Loricariidae" "Siluriformes"
"41" "Roeboides_descalvadensis" "Characidae" "Characiformes"
"42" "Rhamdia_quelen" "Heptapteridae" "Siluriformes"
"43" "Synbranchus_marmoratus" "Synbranchidae" "Synbranchiformes"
"44" "Moenkhausia_oligolepsis" "Characidae" "Characiformes"
